# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2018-06-19 15:13:41 EDT       (caww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 14157500 COAST FORK WILLAMETTE RIVER NEAR GOSHEN, OR
# -----------------------------------------------------------------------------------
#
# Data provided for site 14157500
#            TS   parameter     statistic     Description
#        113722       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	113722_00060_00003	113722_00060_00003_cd
5s	15s	20d	14n	10s
USGS	14157500	1950-10-02	822	A
USGS	14157500	1950-10-03	878	A
USGS	14157500	1950-10-04	1090	A
USGS	14157500	1950-10-05	1330	A
USGS	14157500	1950-10-06	1710	A
USGS	14157500	1950-10-07	1650	A
USGS	14157500	1950-10-08	1240	A
USGS	14157500	1950-10-09	1330	A
USGS	14157500	1950-10-10	998	A
USGS	14157500	1950-10-11	815	A
USGS	14157500	1950-10-12	926	A
USGS	14157500	1950-10-13	808	A
USGS	14157500	1950-10-14	734	A
USGS	14157500	1950-10-15	664	A
USGS	14157500	1950-10-16	727	A
USGS	14157500	1950-10-17	1340	A
USGS	14157500	1950-10-18	1980	A
USGS	14157500	1950-10-19	2110	A
USGS	14157500	1950-10-20	2320	A
USGS	14157500	1950-10-21	2350	A
USGS	14157500	1950-10-22	2240	A
USGS	14157500	1950-10-23	2120	A
USGS	14157500	1950-10-24	2040	A
USGS	14157500	1950-10-25	1920	A
USGS	14157500	1950-10-26	1930	A
USGS	14157500	1950-10-27	3490	A
USGS	14157500	1950-10-28	11400	A
USGS	14157500	1950-10-29	21300	A
USGS	14157500	1950-10-30	12400	A
USGS	14157500	1950-10-31	11200	A
USGS	14157500	1950-11-01	9700	A
USGS	14157500	1950-11-02	9600	A
USGS	14157500	1950-11-03	9030	A
USGS	14157500	1950-11-04	9000	A
USGS	14157500	1950-11-05	8240	A
USGS	14157500	1950-11-06	7590	A
USGS	14157500	1950-11-07	5720	A
USGS	14157500	1950-11-08	5580	A
USGS	14157500	1950-11-09	5440	A
USGS	14157500	1950-11-10	4110	A
USGS	14157500	1950-11-11	2410	A
USGS	14157500	1950-11-12	1940	A
USGS	14157500	1950-11-13	1770	A
USGS	14157500	1950-11-14	1420	A
USGS	14157500	1950-11-15	1720	A
USGS	14157500	1950-11-16	9620	A
USGS	14157500	1950-11-17	11400	A
USGS	14157500	1950-11-18	17000	A
USGS	14157500	1950-11-19	11800	A
USGS	14157500	1950-11-20	10100	A
USGS	14157500	1950-11-21	9000	A
USGS	14157500	1950-11-22	5050	A
USGS	14157500	1950-11-23	3330	A
USGS	14157500	1950-11-24	3000	A
USGS	14157500	1950-11-25	2980	A
USGS	14157500	1950-11-26	2860	A
USGS	14157500	1950-11-27	2800	A
USGS	14157500	1950-11-28	2620	A
USGS	14157500	1950-11-29	2480	A
USGS	14157500	1950-11-30	3050	A
USGS	14157500	1950-12-01	4180	A
USGS	14157500	1950-12-02	4650	A
USGS	14157500	1950-12-03	5910	A
USGS	14157500	1950-12-04	10700	A
USGS	14157500	1950-12-05	9880	A
USGS	14157500	1950-12-06	7570	A
USGS	14157500	1950-12-07	9880	A
USGS	14157500	1950-12-08	8390	A
USGS	14157500	1950-12-09	5450	A
USGS	14157500	1950-12-10	3670	A
USGS	14157500	1950-12-11	3140	A
USGS	14157500	1950-12-12	3370	A
USGS	14157500	1950-12-13	3140	A
USGS	14157500	1950-12-14	3090	A
USGS	14157500	1950-12-15	2840	A
USGS	14157500	1950-12-16	2440	A
USGS	14157500	1950-12-17	2290	A
USGS	14157500	1950-12-18	2050	A
USGS	14157500	1950-12-19	1900	A
USGS	14157500	1950-12-20	1710	A
USGS	14157500	1950-12-21	1610	A
USGS	14157500	1950-12-22	1480	A
USGS	14157500	1950-12-23	1250	A
USGS	14157500	1950-12-24	1140	A
USGS	14157500	1950-12-25	974	A
USGS	14157500	1950-12-26	1010	A
USGS	14157500	1950-12-27	974	A
USGS	14157500	1950-12-28	990	A
USGS	14157500	1950-12-29	1650	A
USGS	14157500	1950-12-30	2140	A
USGS	14157500	1950-12-31	2560	A
USGS	14157500	1951-01-01	2840	A
USGS	14157500	1951-01-02	3030	A
USGS	14157500	1951-01-03	7400	A
USGS	14157500	1951-01-04	5780	A
USGS	14157500	1951-01-05	3620	A
USGS	14157500	1951-01-06	2910	A
USGS	14157500	1951-01-07	2410	A
USGS	14157500	1951-01-08	2370	A
USGS	14157500	1951-01-09	2290	A
USGS	14157500	1951-01-10	2220	A
USGS	14157500	1951-01-11	2410	A
USGS	14157500	1951-01-12	2490	A
USGS	14157500	1951-01-13	2310	A
USGS	14157500	1951-01-14	4680	A
USGS	14157500	1951-01-15	7540	A
USGS	14157500	1951-01-16	7040	A
USGS	14157500	1951-01-17	14800	A
USGS	14157500	1951-01-18	13800	A
USGS	14157500	1951-01-19	11600	A
USGS	14157500	1951-01-20	9580	A
USGS	14157500	1951-01-21	8660	A
USGS	14157500	1951-01-22	12000	A
USGS	14157500	1951-01-23	11100	A
USGS	14157500	1951-01-24	10600	A
USGS	14157500	1951-01-25	9980	A
USGS	14157500	1951-01-26	8840	A
USGS	14157500	1951-01-27	7560	A
USGS	14157500	1951-01-28	5690	A
USGS	14157500	1951-01-29	3090	A
USGS	14157500	1951-01-30	2160	A
USGS	14157500	1951-01-31	2100	A
USGS	14157500	1951-02-01	1710	A
USGS	14157500	1951-02-02	1610	A
USGS	14157500	1951-02-03	1830	A
USGS	14157500	1951-02-04	4800	A
USGS	14157500	1951-02-05	11600	A
USGS	14157500	1951-02-06	11400	A
USGS	14157500	1951-02-07	10800	A
USGS	14157500	1951-02-08	9730	A
USGS	14157500	1951-02-09	8150	A
USGS	14157500	1951-02-10	6930	A
USGS	14157500	1951-02-11	5750	A
USGS	14157500	1951-02-12	4830	A
USGS	14157500	1951-02-13	3120	A
USGS	14157500	1951-02-14	2620	A
USGS	14157500	1951-02-15	2500	A
USGS	14157500	1951-02-16	2150	A
USGS	14157500	1951-02-17	1890	A
USGS	14157500	1951-02-18	1880	A
USGS	14157500	1951-02-19	1770	A
USGS	14157500	1951-02-20	1670	A
USGS	14157500	1951-02-21	1650	A
USGS	14157500	1951-02-22	1610	A
USGS	14157500	1951-02-23	1350	A
USGS	14157500	1951-02-24	1210	A
USGS	14157500	1951-02-25	1210	A
USGS	14157500	1951-02-26	1140	A
USGS	14157500	1951-02-27	886	A
USGS	14157500	1951-02-28	808	A
USGS	14157500	1951-03-01	755	A
USGS	14157500	1951-03-02	727	A
USGS	14157500	1951-03-03	706	A
USGS	14157500	1951-03-04	1170	A
USGS	14157500	1951-03-05	1820	A
USGS	14157500	1951-03-06	1810	A
USGS	14157500	1951-03-07	1830	A
USGS	14157500	1951-03-08	2460	A
USGS	14157500	1951-03-09	3300	A
USGS	14157500	1951-03-10	3020	A
USGS	14157500	1951-03-11	2830	A
USGS	14157500	1951-03-12	2310	A
USGS	14157500	1951-03-13	3120	A
USGS	14157500	1951-03-14	5050	A
USGS	14157500	1951-03-15	7170	A
USGS	14157500	1951-03-16	9880	A
USGS	14157500	1951-03-17	6950	A
USGS	14157500	1951-03-18	3790	A
USGS	14157500	1951-03-19	2950	A
USGS	14157500	1951-03-20	3290	A
