# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2018-06-19 15:04:09 EDT       (vaww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 14166000 WILLAMETTE RIVER AT HARRISBURG, OR
# -----------------------------------------------------------------------------------
#
# Data provided for site 14166000
#            TS   parameter     statistic     Description
#        113842       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	113842_00060_00003	113842_00060_00003_cd
5s	15s	20d	14n	10s
USGS	14166000	1948-01-01	14000	A
USGS	14166000	1948-01-02	37700	A
USGS	14166000	1948-01-03	61600	A
USGS	14166000	1948-01-04	46300	A
USGS	14166000	1948-01-05	43800	A
USGS	14166000	1948-01-06	48200	A
USGS	14166000	1948-01-07	146000	A
USGS	14166000	1948-01-08	115000	A
USGS	14166000	1948-01-09	62300	A
USGS	14166000	1948-01-10	45100	A
USGS	14166000	1948-01-11	37500	A
USGS	14166000	1948-01-12	30600	A
USGS	14166000	1948-01-13	25800	A
USGS	14166000	1948-01-14	21400	A
USGS	14166000	1948-01-15	18600	A
USGS	14166000	1948-01-16	16600	A
USGS	14166000	1948-01-17	15300	A
USGS	14166000	1948-01-18	14100	A
USGS	14166000	1948-01-19	13100	A
USGS	14166000	1948-01-20	12200	A
USGS	14166000	1948-01-21	11200	A
USGS	14166000	1948-01-22	10500	A
USGS	14166000	1948-01-23	9960	A
USGS	14166000	1948-01-24	9660	A
USGS	14166000	1948-01-25	9300	A
USGS	14166000	1948-01-26	8820	A
USGS	14166000	1948-01-27	8320	A
USGS	14166000	1948-01-28	7950	A
USGS	14166000	1948-01-29	7690	A
USGS	14166000	1948-01-30	7500	A
USGS	14166000	1948-01-31	7200	A
USGS	14166000	1948-02-01	7050	A
USGS	14166000	1948-02-02	6920	A
USGS	14166000	1948-02-03	6610	A
USGS	14166000	1948-02-04	6590	A
USGS	14166000	1948-02-05	6540	A
USGS	14166000	1948-02-06	6230	A
USGS	14166000	1948-02-07	5950	A
USGS	14166000	1948-02-08	6230	A
