# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2018-06-19 15:09:32 EDT       (caww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 14170000 LONG TOM RIVER AT MONROE, OR
# -----------------------------------------------------------------------------------
#
# Data provided for site 14170000
#            TS   parameter     statistic     Description
#        113863       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	113863_00060_00003	113863_00060_00003_cd
5s	15s	20d	14n	10s
USGS	14170000	1948-01-01	1890	A
USGS	14170000	1948-01-02	3810	A
USGS	14170000	1948-01-03	4570	A
USGS	14170000	1948-01-04	4050	A
USGS	14170000	1948-01-05	3700	A
USGS	14170000	1948-01-06	5730	A
USGS	14170000	1948-01-07	7180	A
USGS	14170000	1948-01-08	4390	A
USGS	14170000	1948-01-09	2560	A
USGS	14170000	1948-01-10	4370	A
USGS	14170000	1948-01-11	4330	A
USGS	14170000	1948-01-12	3930	A
USGS	14170000	1948-01-13	3500	A
USGS	14170000	1948-01-14	3550	A
USGS	14170000	1948-01-15	3550	A
USGS	14170000	1948-01-16	3460	A
USGS	14170000	1948-01-17	3410	A
USGS	14170000	1948-01-18	3450	A
USGS	14170000	1948-01-19	3410	A
USGS	14170000	1948-01-20	3220	A
USGS	14170000	1948-01-21	3280	A
USGS	14170000	1948-01-22	3240	A
USGS	14170000	1948-01-23	3220	A
USGS	14170000	1948-01-24	3120	A
USGS	14170000	1948-01-25	2980	A
USGS	14170000	1948-01-26	2850	A
USGS	14170000	1948-01-27	2090	A
USGS	14170000	1948-01-28	810	A
USGS	14170000	1948-01-29	522	A
USGS	14170000	1948-01-30	415	A
USGS	14170000	1948-01-31	356	A
USGS	14170000	1948-02-01	190	A
USGS	14170000	1948-02-02	210	A
USGS	14170000	1948-02-03	195	A
USGS	14170000	1948-02-04	216	A
USGS	14170000	1948-02-05	254	A
USGS	14170000	1948-02-06	222	A
USGS	14170000	1948-02-07	190	A
USGS	14170000	1948-02-08	386	A
USGS	14170000	1948-02-09	770	A
USGS	14170000	1948-02-10	940	A
USGS	14170000	1948-02-11	1230	A
USGS	14170000	1948-02-12	970	A
USGS	14170000	1948-02-13	820	A
USGS	14170000	1948-02-14	800	A
USGS	14170000	1948-02-15	1480	A
USGS	14170000	1948-02-16	2250	A
USGS	14170000	1948-02-17	2340	A
USGS	14170000	1948-02-18	2100	A
USGS	14170000	1948-02-19	1850	A
USGS	14170000	1948-02-20	1790	A
USGS	14170000	1948-02-21	2790	A
USGS	14170000	1948-02-22	4620	A
USGS	14170000	1948-02-23	3260	A
USGS	14170000	1948-02-24	3170	A
USGS	14170000	1948-02-25	1750	A
USGS	14170000	1948-02-26	3830	A
USGS	14170000	1948-02-27	3770	A
USGS	14170000	1948-02-28	3700	A
USGS	14170000	1948-02-29	3430	A
USGS	14170000	1948-03-01	3190	A
USGS	14170000	1948-03-02	2630	A
USGS	14170000	1948-03-03	970	A
USGS	14170000	1948-03-04	362	A
USGS	14170000	1948-03-05	344	A
USGS	14170000	1948-03-06	362	A
USGS	14170000	1948-03-07	374	A
USGS	14170000	1948-03-08	1380	A
USGS	14170000	1948-03-09	950	A
USGS	14170000	1948-03-10	810	A
USGS	14170000	1948-03-11	610	A
USGS	14170000	1948-03-12	570	A
USGS	14170000	1948-03-13	586	A
USGS	14170000	1948-03-14	673	A
USGS	14170000	1948-03-15	602	A
USGS	14170000	1948-03-16	760	A
USGS	14170000	1948-03-17	1120	A
USGS	14170000	1948-03-18	1000	A
USGS	14170000	1948-03-19	940	A
USGS	14170000	1948-03-20	930	A
USGS	14170000	1948-03-21	930	A
USGS	14170000	1948-03-22	2040	A
USGS	14170000	1948-03-23	2270	A
USGS	14170000	1948-03-24	2300	A
USGS	14170000	1948-03-25	2340	A
USGS	14170000	1948-03-26	2050	A
USGS	14170000	1948-03-27	1500	A
USGS	14170000	1948-03-28	1010	A
USGS	14170000	1948-03-29	637	A
USGS	14170000	1948-03-30	602	A
USGS	14170000	1948-03-31	538	A
USGS	14170000	1948-04-01	394	A
USGS	14170000	1948-04-02	272	A
USGS	14170000	1948-04-03	278	A
USGS	14170000	1948-04-04	278	A
USGS	14170000	1948-04-05	387	A
USGS	14170000	1948-04-06	554	A
USGS	14170000	1948-04-07	562	A
USGS	14170000	1948-04-08	522	A
USGS	14170000	1948-04-09	578	A
USGS	14170000	1948-04-10	673	A
USGS	14170000	1948-04-11	920	A
USGS	14170000	1948-04-12	691	A
USGS	14170000	1948-04-13	422	A
USGS	14170000	1948-04-14	302	A
USGS	14170000	1948-04-15	374	A
USGS	14170000	1948-04-16	514	A
USGS	14170000	1948-04-17	790	A
USGS	14170000	1948-04-18	950	A
USGS	14170000	1948-04-19	780	A
USGS	14170000	1948-04-20	610	A
USGS	14170000	1948-04-21	506	A
USGS	14170000	1948-04-22	562	A
USGS	14170000	1948-04-23	930	A
USGS	14170000	1948-04-24	830	A
USGS	14170000	1948-04-25	770	A
USGS	14170000	1948-04-26	338	A
USGS	14170000	1948-04-27	302	A
USGS	14170000	1948-04-28	272	A
USGS	14170000	1948-04-29	260	A
USGS	14170000	1948-04-30	530	A
USGS	14170000	1948-05-01	1150	A
USGS	14170000	1948-05-02	401	A
USGS	14170000	1948-05-03	1140	A
USGS	14170000	1948-05-04	2170	A
USGS	14170000	1948-05-05	1500	A
USGS	14170000	1948-05-06	1090	A
USGS	14170000	1948-05-07	1010	A
USGS	14170000	1948-05-08	960	A
USGS	14170000	1948-05-09	619	A
USGS	14170000	1948-05-10	436	A
USGS	14170000	1948-05-11	415	A
USGS	14170000	1948-05-12	474	A
USGS	14170000	1948-05-13	920	A
USGS	14170000	1948-05-14	790	A
USGS	14170000	1948-05-15	408	A
USGS	14170000	1948-05-16	415	A
USGS	14170000	1948-05-17	546	A
USGS	14170000	1948-05-18	490	A
USGS	14170000	1948-05-19	401	A
USGS	14170000	1948-05-20	538	A
USGS	14170000	1948-05-21	570	A
USGS	14170000	1948-05-22	546	A
USGS	14170000	1948-05-23	514	A
USGS	14170000	1948-05-24	458	A
USGS	14170000	1948-05-25	205	A
USGS	14170000	1948-05-26	190	A
USGS	14170000	1948-05-27	227	A
USGS	14170000	1948-05-28	539	A
USGS	14170000	1948-05-29	740	A
USGS	14170000	1948-05-30	362	A
USGS	14170000	1948-05-31	344	A
USGS	14170000	1948-06-01	284	A
USGS	14170000	1948-06-02	165	A
USGS	14170000	1948-06-03	150	A
USGS	14170000	1948-06-04	146	A
USGS	14170000	1948-06-05	142	A
USGS	14170000	1948-06-06	142	A
USGS	14170000	1948-06-07	351	A
USGS	14170000	1948-06-08	415	A
USGS	14170000	1948-06-09	284	A
USGS	14170000	1948-06-10	244	A
USGS	14170000	1948-06-11	132	A
USGS	14170000	1948-06-12	132	A
USGS	14170000	1948-06-13	128	A
USGS	14170000	1948-06-14	124	A
USGS	14170000	1948-06-15	119	A
USGS	14170000	1948-06-16	110	A
USGS	14170000	1948-06-17	83.0	A
USGS	14170000	1948-06-18	80.0	A
USGS	14170000	1948-06-19	80.0	A
USGS	14170000	1948-06-20	128	A
USGS	14170000	1948-06-21	272	A
USGS	14170000	1948-06-22	205	A
USGS	14170000	1948-06-23	80.0	A
USGS	14170000	1948-06-24	72.0	A
USGS	14170000	1948-06-25	72.0	A
USGS	14170000	1948-06-26	72.0	A
USGS	14170000	1948-06-27	68.0	A
USGS	14170000	1948-06-28	64.0	A
USGS	14170000	1948-06-29	60.0	A
USGS	14170000	1948-06-30	60.0	A
USGS	14170000	1948-07-01	57.0	A
USGS	14170000	1948-07-02	57.0	A
USGS	14170000	1948-07-03	57.0	A
USGS	14170000	1948-07-04	54.0	A
USGS	14170000	1948-07-05	57.0	A
USGS	14170000	1948-07-06	64.0	A
USGS	14170000	1948-07-07	64.0	A
USGS	14170000	1948-07-08	64.0	A
USGS	14170000	1948-07-09	57.0	A
USGS	14170000	1948-07-10	68.0	A
USGS	14170000	1948-07-11	64.0	A
USGS	14170000	1948-07-12	72.0	A
USGS	14170000	1948-07-13	72.0	A
USGS	14170000	1948-07-14	72.0	A
USGS	14170000	1948-07-15	72.0	A
USGS	14170000	1948-07-16	72.0	A
USGS	14170000	1948-07-17	64.0	A
USGS	14170000	1948-07-18	60.0	A
USGS	14170000	1948-07-19	60.0	A
USGS	14170000	1948-07-20	60.0	A
USGS	14170000	1948-07-21	60.0	A
USGS	14170000	1948-07-22	64.0	A
USGS	14170000	1948-07-23	64.0	A
USGS	14170000	1948-07-24	64.0	A
USGS	14170000	1948-07-25	60.0	A
USGS	14170000	1948-07-26	60.0	A
USGS	14170000	1948-07-27	60.0	A
USGS	14170000	1948-07-28	60.0	A
USGS	14170000	1948-07-29	64.0	A
USGS	14170000	1948-07-30	60.0	A
USGS	14170000	1948-07-31	60.0	A
USGS	14170000	1948-08-01	60.0	A
USGS	14170000	1948-08-02	60.0	A
USGS	14170000	1948-08-03	60.0	A
USGS	14170000	1948-08-04	57.0	A
USGS	14170000	1948-08-05	54.0	A
USGS	14170000	1948-08-06	54.0	A
USGS	14170000	1948-08-07	54.0	A
USGS	14170000	1948-08-08	54.0	A
USGS	14170000	1948-08-09	54.0	A
USGS	14170000	1948-08-10	54.0	A
USGS	14170000	1948-08-11	54.0	A
USGS	14170000	1948-08-12	54.0	A
USGS	14170000	1948-08-13	54.0	A
USGS	14170000	1948-08-14	54.0	A
USGS	14170000	1948-08-15	54.0	A
USGS	14170000	1948-08-16	51.0	A
USGS	14170000	1948-08-17	54.0	A
USGS	14170000	1948-08-18	54.0	A
USGS	14170000	1948-08-19	54.0	A
USGS	14170000	1948-08-20	54.0	A
USGS	14170000	1948-08-21	54.0	A
USGS	14170000	1948-08-22	51.0	A
USGS	14170000	1948-08-23	51.0	A
USGS	14170000	1948-08-24	47.0	A
USGS	14170000	1948-08-25	47.0	A
USGS	14170000	1948-08-26	47.0	A
USGS	14170000	1948-08-27	47.0	A
USGS	14170000	1948-08-28	44.0	A
USGS	14170000	1948-08-29	44.0	A
USGS	14170000	1948-08-30	44.0	A
USGS	14170000	1948-08-31	44.0	A
USGS	14170000	1948-09-01	44.0	A
USGS	14170000	1948-09-02	44.0	A
USGS	14170000	1948-09-03	41.0	A
USGS	14170000	1948-09-04	38.0	A
USGS	14170000	1948-09-05	41.0	A
USGS	14170000	1948-09-06	38.0	A
USGS	14170000	1948-09-07	38.0	A
USGS	14170000	1948-09-08	38.0	A
USGS	14170000	1948-09-09	38.0	A
USGS	14170000	1948-09-10	38.0	A
USGS	14170000	1948-09-11	38.0	A
USGS	14170000	1948-09-12	38.0	A
USGS	14170000	1948-09-13	38.0	A
USGS	14170000	1948-09-14	38.0	A
USGS	14170000	1948-09-15	38.0	A
USGS	14170000	1948-09-16	47.0	A
USGS	14170000	1948-09-17	41.0	A
USGS	14170000	1948-09-18	41.0	A
USGS	14170000	1948-09-19	41.0	A
USGS	14170000	1948-09-20	41.0	A
USGS	14170000	1948-09-21	41.0	A
USGS	14170000	1948-09-22	51.0	A
USGS	14170000	1948-09-23	60.0	A
USGS	14170000	1948-09-24	72.0	A
USGS	14170000	1948-09-25	57.0	A
USGS	14170000	1948-09-26	57.0	A
USGS	14170000	1948-09-27	57.0	A
USGS	14170000	1948-09-28	57.0	A
USGS	14170000	1948-09-29	54.0	A
USGS	14170000	1948-09-30	54.0	A
USGS	14170000	1948-10-01	198	A
USGS	14170000	1948-10-02	927	A
USGS	14170000	1948-10-03	1570	A
USGS	14170000	1948-10-04	1660	A
USGS	14170000	1948-10-05	1800	A
USGS	14170000	1948-10-06	1790	A
USGS	14170000	1948-10-07	1780	A
USGS	14170000	1948-10-08	1780	A
USGS	14170000	1948-10-09	1760	A
USGS	14170000	1948-10-10	1790	A
USGS	14170000	1948-10-11	1840	A
USGS	14170000	1948-10-12	1800	A
USGS	14170000	1948-10-13	1780	A
USGS	14170000	1948-10-14	1760	A
USGS	14170000	1948-10-15	1790	A
USGS	14170000	1948-10-16	1810	A
USGS	14170000	1948-10-17	1780	A
USGS	14170000	1948-10-18	1630	A
USGS	14170000	1948-10-19	172	A
USGS	14170000	1948-10-20	923	A
USGS	14170000	1948-10-21	1810	A
USGS	14170000	1948-10-22	1740	A
USGS	14170000	1948-10-23	1720	A
USGS	14170000	1948-10-24	1700	A
USGS	14170000	1948-10-25	1710	A
USGS	14170000	1948-10-26	1680	A
USGS	14170000	1948-10-27	1340	A
USGS	14170000	1948-10-28	900	A
USGS	14170000	1948-10-29	54.0	A
USGS	14170000	1948-10-30	41.0	A
USGS	14170000	1948-10-31	38.0	A
USGS	14170000	1948-11-01	72.0	A
USGS	14170000	1948-11-02	401	A
USGS	14170000	1948-11-03	450	A
USGS	14170000	1948-11-04	530	A
USGS	14170000	1948-11-05	514	A
USGS	14170000	1948-11-06	394	A
USGS	14170000	1948-11-07	114	A
USGS	14170000	1948-11-08	175	A
USGS	14170000	1948-11-09	170	A
USGS	14170000	1948-11-10	160	A
USGS	14170000	1948-11-11	72.0	A
USGS	14170000	1948-11-12	64.0	A
USGS	14170000	1948-11-13	91.0	A
USGS	14170000	1948-11-14	232	A
USGS	14170000	1948-11-15	278	A
USGS	14170000	1948-11-16	450	A
USGS	14170000	1948-11-17	940	A
USGS	14170000	1948-11-18	1220	A
USGS	14170000	1948-11-19	1380	A
USGS	14170000	1948-11-20	1300	A
USGS	14170000	1948-11-21	940	A
USGS	14170000	1948-11-22	673	A
USGS	14170000	1948-11-23	602	A
USGS	14170000	1948-11-24	646	A
USGS	14170000	1948-11-25	790	A
USGS	14170000	1948-11-26	1220	A
USGS	14170000	1948-11-27	1060	A
USGS	14170000	1948-11-28	1160	A
USGS	14170000	1948-11-29	1180	A
USGS	14170000	1948-11-30	1270	A
USGS	14170000	1948-12-01	1340	A
USGS	14170000	1948-12-02	2010	A
USGS	14170000	1948-12-03	2580	A
USGS	14170000	1948-12-04	2520	A
USGS	14170000	1948-12-05	3010	A
USGS	14170000	1948-12-06	3280	A
USGS	14170000	1948-12-07	3530	A
USGS	14170000	1948-12-08	3410	A
USGS	14170000	1948-12-09	2850	A
USGS	14170000	1948-12-10	3290	A
USGS	14170000	1948-12-11	5200	A
USGS	14170000	1948-12-12	5840	A
USGS	14170000	1948-12-13	4260	A
USGS	14170000	1948-12-14	3410	A
USGS	14170000	1948-12-15	3340	A
USGS	14170000	1948-12-16	3520	A
USGS	14170000	1948-12-17	3590	A
USGS	14170000	1948-12-18	3430	A
USGS	14170000	1948-12-19	3340	A
USGS	14170000	1948-12-20	3310	A
USGS	14170000	1948-12-21	2780	A
USGS	14170000	1948-12-22	1540	A
USGS	14170000	1948-12-23	750	A
USGS	14170000	1948-12-24	691	A
USGS	14170000	1948-12-25	660	A
USGS	14170000	1948-12-26	640	A
USGS	14170000	1948-12-27	580	A
USGS	14170000	1948-12-28	540	A
USGS	14170000	1948-12-29	900	A
USGS	14170000	1948-12-30	1380	A
USGS	14170000	1948-12-31	1460	A
USGS	14170000	1949-01-01	2660	A
USGS	14170000	1949-01-02	3120	A
USGS	14170000	1949-01-03	2950	A
USGS	14170000	1949-01-04	2380	A
USGS	14170000	1949-01-05	1900	A
USGS	14170000	1949-01-06	1300	A
USGS	14170000	1949-01-07	1000	A
USGS	14170000	1949-01-08	990	A
USGS	14170000	1949-01-09	800	A
USGS	14170000	1949-01-10	640	A
USGS	14170000	1949-01-11	474	A
USGS	14170000	1949-01-12	498	A
USGS	14170000	1949-01-13	450	A
USGS	14170000	1949-01-14	450	A
USGS	14170000	1949-01-15	490	A
USGS	14170000	1949-01-16	480	A
USGS	14170000	1949-01-17	474	A
USGS	14170000	1949-01-18	443	A
USGS	14170000	1949-01-19	401	A
USGS	14170000	1949-01-20	394	A
USGS	14170000	1949-01-21	390	A
USGS	14170000	1949-01-22	390	A
USGS	14170000	1949-01-23	390	A
USGS	14170000	1949-01-24	390	A
USGS	14170000	1949-01-25	360	A
USGS	14170000	1949-01-26	344	A
USGS	14170000	1949-01-27	320	A
USGS	14170000	1949-01-28	310	A
USGS	14170000	1949-01-29	320	A
USGS	14170000	1949-01-30	296	A
USGS	14170000	1949-01-31	272	A
USGS	14170000	1949-02-01	155	A
USGS	14170000	1949-02-02	160	A
USGS	14170000	1949-02-03	238	A
USGS	14170000	1949-02-04	450	A
USGS	14170000	1949-02-05	628	A
USGS	14170000	1949-02-06	1420	A
USGS	14170000	1949-02-07	1740	A
USGS	14170000	1949-02-08	2280	A
USGS	14170000	1949-02-09	3190	A
USGS	14170000	1949-02-10	5040	A
USGS	14170000	1949-02-11	4200	A
USGS	14170000	1949-02-12	2670	A
USGS	14170000	1949-02-13	2980	A
USGS	14170000	1949-02-14	3400	A
USGS	14170000	1949-02-15	4640	A
USGS	14170000	1949-02-16	4530	A
USGS	14170000	1949-02-17	6100	A
USGS	14170000	1949-02-18	6340	A
USGS	14170000	1949-02-19	4130	A
USGS	14170000	1949-02-20	2140	A
USGS	14170000	1949-02-21	3210	A
USGS	14170000	1949-02-22	4990	A
USGS	14170000	1949-02-23	5660	A
USGS	14170000	1949-02-24	5040	A
USGS	14170000	1949-02-25	4410	A
USGS	14170000	1949-02-26	4050	A
USGS	14170000	1949-02-27	3890	A
USGS	14170000	1949-02-28	3760	A
USGS	14170000	1949-03-01	3620	A
USGS	14170000	1949-03-02	3620	A
USGS	14170000	1949-03-03	3620	A
USGS	14170000	1949-03-04	3570	A
USGS	14170000	1949-03-05	3480	A
USGS	14170000	1949-03-06	2810	A
USGS	14170000	1949-03-07	422	A
USGS	14170000	1949-03-08	314	A
USGS	14170000	1949-03-09	380	A
USGS	14170000	1949-03-10	506	A
USGS	14170000	1949-03-11	482	A
USGS	14170000	1949-03-12	436	A
USGS	14170000	1949-03-13	422	A
USGS	14170000	1949-03-14	443	A
USGS	14170000	1949-03-15	466	A
USGS	14170000	1949-03-16	554	A
USGS	14170000	1949-03-17	628	A
