# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2018-06-19 15:10:29 EDT       (caww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 14187500 SOUTH SANTIAM RIVER AT WATERLOO, OR
# -----------------------------------------------------------------------------------
#
# Data provided for site 14187500
#            TS   parameter     statistic     Description
#        114080       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	114080_00060_00003	114080_00060_00003_cd
5s	15s	20d	14n	10s
USGS	14187500	1948-01-01	6730	A
USGS	14187500	1948-01-02	20600	A
USGS	14187500	1948-01-03	12500	A
USGS	14187500	1948-01-04	9790	A
USGS	14187500	1948-01-05	7690	A
USGS	14187500	1948-01-06	31200	A
USGS	14187500	1948-01-07	47000	A
USGS	14187500	1948-01-08	19900	A
USGS	14187500	1948-01-09	11400	A
USGS	14187500	1948-01-10	8350	A
USGS	14187500	1948-01-11	6590	A
USGS	14187500	1948-01-12	5410	A
USGS	14187500	1948-01-13	4550	A
USGS	14187500	1948-01-14	3950	A
USGS	14187500	1948-01-15	3480	A
USGS	14187500	1948-01-16	3180	A
USGS	14187500	1948-01-17	2930	A
USGS	14187500	1948-01-18	2660	A
USGS	14187500	1948-01-19	2440	A
USGS	14187500	1948-01-20	2250	A
USGS	14187500	1948-01-21	2090	A
USGS	14187500	1948-01-22	1960	A
USGS	14187500	1948-01-23	1880	A
USGS	14187500	1948-01-24	1820	A
USGS	14187500	1948-01-25	1720	A
USGS	14187500	1948-01-26	1590	A
USGS	14187500	1948-01-27	1520	A
USGS	14187500	1948-01-28	1460	A
USGS	14187500	1948-01-29	1410	A
USGS	14187500	1948-01-30	1370	A
USGS	14187500	1948-01-31	1300	A
USGS	14187500	1948-02-01	1250	A
USGS	14187500	1948-02-02	1220	A
USGS	14187500	1948-02-03	1130	A
USGS	14187500	1948-02-04	1150	A
USGS	14187500	1948-02-05	1110	A
USGS	14187500	1948-02-06	1020	A
USGS	14187500	1948-02-07	1000	A
USGS	14187500	1948-02-08	1210	A
USGS	14187500	1948-02-09	1920	A
USGS	14187500	1948-02-10	1530	A
USGS	14187500	1948-02-11	1340	A
USGS	14187500	1948-02-12	1240	A
USGS	14187500	1948-02-13	1170	A
USGS	14187500	1948-02-14	1160	A
USGS	14187500	1948-02-15	5160	A
USGS	14187500	1948-02-16	6100	A
USGS	14187500	1948-02-17	7860	A
USGS	14187500	1948-02-18	7570	A
USGS	14187500	1948-02-19	6460	A
USGS	14187500	1948-02-20	4770	A
USGS	14187500	1948-02-21	14900	A
USGS	14187500	1948-02-22	36400	A
USGS	14187500	1948-02-23	15700	A
USGS	14187500	1948-02-24	9280	A
USGS	14187500	1948-02-25	6940	A
USGS	14187500	1948-02-26	14300	A
USGS	14187500	1948-02-27	10800	A
USGS	14187500	1948-02-28	7550	A
USGS	14187500	1948-02-29	5750	A
USGS	14187500	1948-03-01	4950	A
USGS	14187500	1948-03-02	4730	A
USGS	14187500	1948-03-03	4010	A
USGS	14187500	1948-03-04	3500	A
USGS	14187500	1948-03-05	3200	A
USGS	14187500	1948-03-06	3130	A
USGS	14187500	1948-03-07	3020	A
USGS	14187500	1948-03-08	3000	A
USGS	14187500	1948-03-09	3560	A
USGS	14187500	1948-03-10	3310	A
USGS	14187500	1948-03-11	2930	A
USGS	14187500	1948-03-12	2680	A
USGS	14187500	1948-03-13	2780	A
USGS	14187500	1948-03-14	2590	A
USGS	14187500	1948-03-15	2610	A
USGS	14187500	1948-03-16	2580	A
USGS	14187500	1948-03-17	2510	A
USGS	14187500	1948-03-18	2460	A
USGS	14187500	1948-03-19	2510	A
USGS	14187500	1948-03-20	2440	A
USGS	14187500	1948-03-21	2750	A
USGS	14187500	1948-03-22	6990	A
USGS	14187500	1948-03-23	5700	A
USGS	14187500	1948-03-24	4730	A
USGS	14187500	1948-03-25	4260	A
USGS	14187500	1948-03-26	3750	A
USGS	14187500	1948-03-27	3560	A
USGS	14187500	1948-03-28	3950	A
USGS	14187500	1948-03-29	4600	A
USGS	14187500	1948-03-30	6150	A
USGS	14187500	1948-03-31	5090	A
USGS	14187500	1948-04-01	4320	A
USGS	14187500	1948-04-02	4300	A
USGS	14187500	1948-04-03	4770	A
USGS	14187500	1948-04-04	4110	A
USGS	14187500	1948-04-05	3690	A
USGS	14187500	1948-04-06	3390	A
USGS	14187500	1948-04-07	3130	A
USGS	14187500	1948-04-08	2930	A
USGS	14187500	1948-04-09	3170	A
USGS	14187500	1948-04-10	3480	A
USGS	14187500	1948-04-11	3560	A
USGS	14187500	1948-04-12	3220	A
USGS	14187500	1948-04-13	2860	A
USGS	14187500	1948-04-14	3020	A
USGS	14187500	1948-04-15	4090	A
USGS	14187500	1948-04-16	4950	A
USGS	14187500	1948-04-17	5390	A
USGS	14187500	1948-04-18	5820	A
USGS	14187500	1948-04-19	5180	A
USGS	14187500	1948-04-20	4970	A
USGS	14187500	1948-04-21	5180	A
USGS	14187500	1948-04-22	5880	A
USGS	14187500	1948-04-23	6570	A
USGS	14187500	1948-04-24	6330	A
USGS	14187500	1948-04-25	6670	A
USGS	14187500	1948-04-26	5630	A
USGS	14187500	1948-04-27	4530	A
USGS	14187500	1948-04-28	3970	A
USGS	14187500	1948-04-29	3460	A
USGS	14187500	1948-04-30	3040	A
USGS	14187500	1948-05-01	2730	A
USGS	14187500	1948-05-02	2460	A
USGS	14187500	1948-05-03	5530	A
USGS	14187500	1948-05-04	8060	A
USGS	14187500	1948-05-05	5800	A
USGS	14187500	1948-05-06	6200	A
USGS	14187500	1948-05-07	6230	A
USGS	14187500	1948-05-08	5510	A
USGS	14187500	1948-05-09	4930	A
USGS	14187500	1948-05-10	4240	A
USGS	14187500	1948-05-11	3670	A
USGS	14187500	1948-05-12	3500	A
USGS	14187500	1948-05-13	4510	A
USGS	14187500	1948-05-14	4090	A
USGS	14187500	1948-05-15	3670	A
USGS	14187500	1948-05-16	3630	A
USGS	14187500	1948-05-17	4070	A
USGS	14187500	1948-05-18	3830	A
USGS	14187500	1948-05-19	3390	A
USGS	14187500	1948-05-20	3130	A
USGS	14187500	1948-05-21	3440	A
USGS	14187500	1948-05-22	3270	A
USGS	14187500	1948-05-23	3200	A
USGS	14187500	1948-05-24	3480	A
USGS	14187500	1948-05-25	3950	A
USGS	14187500	1948-05-26	4030	A
USGS	14187500	1948-05-27	3830	A
USGS	14187500	1948-05-28	3970	A
USGS	14187500	1948-05-29	3750	A
USGS	14187500	1948-05-30	3240	A
USGS	14187500	1948-05-31	3040	A
USGS	14187500	1948-06-01	3000	A
USGS	14187500	1948-06-02	2930	A
USGS	14187500	1948-06-03	2920	A
USGS	14187500	1948-06-04	2470	A
USGS	14187500	1948-06-05	2160	A
USGS	14187500	1948-06-06	2190	A
USGS	14187500	1948-06-07	2280	A
USGS	14187500	1948-06-08	2490	A
USGS	14187500	1948-06-09	2170	A
USGS	14187500	1948-06-10	1960	A
USGS	14187500	1948-06-11	2640	A
USGS	14187500	1948-06-12	2220	A
USGS	14187500	1948-06-13	1920	A
USGS	14187500	1948-06-14	1720	A
USGS	14187500	1948-06-15	1550	A
USGS	14187500	1948-06-16	1450	A
USGS	14187500	1948-06-17	1350	A
USGS	14187500	1948-06-18	1330	A
USGS	14187500	1948-06-19	1280	A
USGS	14187500	1948-06-20	1340	A
USGS	14187500	1948-06-21	1720	A
USGS	14187500	1948-06-22	1590	A
USGS	14187500	1948-06-23	1390	A
USGS	14187500	1948-06-24	1250	A
USGS	14187500	1948-06-25	1160	A
USGS	14187500	1948-06-26	1080	A
USGS	14187500	1948-06-27	1020	A
USGS	14187500	1948-06-28	965	A
USGS	14187500	1948-06-29	916	A
USGS	14187500	1948-06-30	871	A
USGS	14187500	1948-07-01	826	A
USGS	14187500	1948-07-02	781	A
USGS	14187500	1948-07-03	745	A
USGS	14187500	1948-07-04	727	A
USGS	14187500	1948-07-05	709	A
USGS	14187500	1948-07-06	808	A
USGS	14187500	1948-07-07	871	A
USGS	14187500	1948-07-08	754	A
USGS	14187500	1948-07-09	673	A
USGS	14187500	1948-07-10	638	A
USGS	14187500	1948-07-11	604	A
USGS	14187500	1948-07-12	570	A
USGS	14187500	1948-07-13	546	A
USGS	14187500	1948-07-14	514	A
USGS	14187500	1948-07-15	498	A
USGS	14187500	1948-07-16	490	A
USGS	14187500	1948-07-17	475	A
USGS	14187500	1948-07-18	468	A
USGS	14187500	1948-07-19	445	A
USGS	14187500	1948-07-20	438	A
USGS	14187500	1948-07-21	430	A
USGS	14187500	1948-07-22	422	A
USGS	14187500	1948-07-23	415	A
USGS	14187500	1948-07-24	415	A
USGS	14187500	1948-07-25	408	A
USGS	14187500	1948-07-26	395	A
USGS	14187500	1948-07-27	408	A
