Day index, year, month, day, Total Agrovoltaic (MW), Total Hydro (MW), Hills Creek (MW), Foster (MW), Dexter (MW), Cougar (MW), Green Peter (MW), Foster (MW), Detroit (MW), Big Cliff (MW)
0, 2010, 1, 1, 0.0879524, 101.808, 9.63459, 13.1972, 0, 8.41008, 26.4032, 18.2742, 25.8884, 0
1, 2010, 1, 2, 0, 109.534, 9.22475, 18.4237, 9.3267, 8.07439, 12.6233, 16.4333, 23.6101, 11.8173
2, 2010, 1, 3, 0.0879524, 242.72, 18.3758, 24.7187, 13.2271, 17.4133, 69.9797, 20.2822, 67.8163, 10.9065
3, 2010, 1, 4, 0, 283.192, 24.236, 32.6015, 13.2271, 17.7394, 74.0898, 20.1108, 86.2178, 14.9694
4, 2010, 1, 5, 0, 294.183, 24.3339, 42.3571, 13.2271, 17.7095, 74.3813, 20.196, 87.0085, 14.9694
5, 2010, 1, 6, 0, 305.725, 24.3513, 53.954, 13.2271, 17.4965, 74.0745, 20.3492, 87.3027, 14.9694
6, 2010, 1, 7, 0.189037, 310.99, 24.2931, 66.0364, 13.2271, 11.8112, 73.1963, 20.3512, 87.1054, 14.9694
7, 2010, 1, 8, 0.241995, 322.178, 24.2227, 72.4002, 13.2271, 17.3404, 72.8812, 20.2873, 86.8494, 14.9694
8, 2010, 1, 9, 0.189037, 311.674, 24.2311, 60.9789, 13.2271, 17.32, 73.4422, 20.2551, 87.2498, 14.9694
9, 2010, 1, 10, 0, 311.106, 24.2568, 60.0807, 13.2271, 17.3685, 73.4092, 20.1531, 87.6418, 14.9694
10, 2010, 1, 11, 0.0879524, 302.816, 24.2546, 57.7174, 13.2271, 11.8428, 72.9697, 20.1142, 87.7207, 14.9694
11, 2010, 1, 12, 0, 299.287, 24.2441, 55.4991, 13.2271, 17.498, 66.3182, 20.074, 87.4568, 14.9694
12, 2010, 1, 13, 0, 275.063, 24.2109, 52.3412, 13.2271, 11.7427, 51.6143, 20.102, 86.8552, 14.9694
13, 2010, 1, 14, 0, 246.209, 21.5491, 48.3871, 13.2271, 11.424, 35.3932, 20.2179, 81.0411, 14.9694
14, 2010, 1, 15, 0, 198.909, 21.5258, 44.773, 13.2271, 13.514, 27.2362, 20.2858, 43.3781, 14.9694
15, 2010, 1, 16, 0, 196.294, 20.1656, 41.1984, 13.2271, 12.8137, 28.3738, 20.2527, 45.2933, 14.9694
16, 2010, 1, 17, 0, 206.281, 20.1183, 38.4046, 12.6603, 14.1842, 34.5879, 20.1916, 51.1648, 14.9694
17, 2010, 1, 18, 0, 204.864, 19.7649, 35.4204, 12.5325, 14.1509, 35.6148, 20.1528, 52.2579, 14.9694
18, 2010, 1, 19, 0, 219.731, 19.149, 34.9615, 12.2001, 11.0591, 45.1769, 20.2268, 61.9878, 14.9694
19, 2010, 1, 20, 0, 231.125, 18.5922, 34.2093, 11.9248, 11.7225, 52.3042, 20.271, 67.1315, 14.9694
20, 2010, 1, 21, 0.0879524, 236.542, 18.2152, 33.6659, 11.5089, 11.7223, 56.7616, 20.2982, 69.4006, 14.9694
21, 2010, 1, 22, 0, 228.282, 17.1399, 32.4942, 11.0593, 16.745, 51.5806, 20.2857, 64.0082, 14.9694
22, 2010, 1, 23, 0.0879524, 208.282, 15.9843, 31.1825, 10.5406, 14.7903, 43.7886, 20.2827, 56.7439, 14.9694
23, 2010, 1, 24, 0.0879524, 187.141, 14.8197, 29.6139, 9.94611, 12.8563, 35.5811, 20.2991, 49.0554, 14.9694
24, 2010, 1, 25, 0.189037, 166.75, 13.5752, 27.8079, 9.50957, 11.0578, 27.759, 20.263, 41.8078, 14.9694
25, 2010, 1, 26, 0, 153.358, 12.3867, 26.4205, 8.83237, 9.91998, 24.4866, 20.2027, 37.0414, 14.0683
26, 2010, 1, 27, 0.0916918, 138.893, 11.1811, 24.4233, 8.91468, 8.99606, 20.8096, 18.4266, 33.3104, 12.831
