Date	Time	HCR.Stor.Inst.0.0.Best	[ac-ft]
1/1/2004	0:00	165736	
1/1/2004	0:04	165510	
1/1/2004	1:05	165510	
1/1/2004	2:07	165480	
1/1/2004	3:06	165460	
1/1/2004	4:06	165440	
1/1/2004	5:05	165400	
1/1/2004	6:07	165380	
1/1/2004	7:07	165380	
1/1/2004	8:11	165360	
1/1/2004	9:05	165340	
1/1/2004	10:09	165320	
1/1/2004	11:06	165320	
1/1/2004	12:04	165380	
1/1/2004	13:05	165380	
1/1/2004	14:03	165400	
1/1/2004	15:04	165400	
1/1/2004	16:08	165500	
1/1/2004	17:09	165500	
1/1/2004	18:03	165510	
1/1/2004	19:07	165530	
1/1/2004	20:06	165570	
1/1/2004	21:04	165570	
1/1/2004	22:06	165570	
1/1/2004	23:05	165570	
1/2/2004	0:00	165882.996	
1/2/2004	0:05	165570	
1/2/2004	1:04	165570	
1/2/2004	2:05	165570	
1/2/2004	3:03	165560	
1/2/2004	4:05	165560	
1/2/2004	5:05	165560	
1/2/2004	6:04	165550	
1/2/2004	7:03	165550	
1/2/2004	8:04	165530	
1/2/2004	9:04	165510	
1/2/2004	10:08	165510	
1/2/2004	11:03	165510	
1/2/2004	12:05	165500	
1/2/2004	13:05	165460	
1/2/2004	14:06	165440	
1/2/2004	15:07	165440	
1/2/2004	16:03	165400	
1/2/2004	17:04	165380	
1/2/2004	18:06	165360	
1/2/2004	19:04	165340	
1/2/2004	20:07	165320	
1/2/2004	21:03	165280	
1/2/2004	22:09	165270	
1/2/2004	23:05	165260	
1/3/2004	0:00	165524.002	
1/3/2004	0:09	165240	
1/3/2004	1:06	165220	
1/3/2004	2:04	165200	
1/3/2004	3:07	165140	
1/3/2004	4:04	165120	
1/3/2004	5:04	165080	
1/3/2004	6:03	165040	
1/3/2004	7:04	164980	
1/3/2004	8:08	164940	
1/3/2004	9:04	164880	
1/3/2004	10:08	164840	
1/3/2004	11:04	164800	
1/3/2004	12:05	164770	
1/3/2004	13:04	164750	
1/3/2004	14:05	164720	
1/3/2004	15:04	164710	
1/3/2004	16:09	164680	
1/3/2004	17:05	164600	
1/3/2004	18:05	164580	
1/3/2004	19:05	164540	
1/3/2004	20:05	164460	
1/3/2004	21:04	164440	
1/3/2004	22:07	164360	
1/3/2004	23:04	164340	
1/4/2004	0:00	164612	
1/4/2004	0:04	164300	
1/4/2004	1:09	164260	
1/4/2004	2:06	164240	
1/4/2004	3:05	164220	
1/4/2004	4:04	164160	
1/4/2004	5:08	164120	
1/4/2004	6:04	164060	
1/4/2004	7:07	164040	
1/4/2004	8:07	163940	
1/4/2004	9:12	163900	
1/4/2004	10:08	163820	
1/4/2004	11:04	163820	
1/4/2004	12:04	163780	
1/4/2004	13:05	163740	
1/4/2004	14:03	163710	
1/4/2004	15:07	163660	
1/4/2004	16:04	163600	
1/4/2004	17:07	163540	
1/4/2004	18:08	163480	
1/4/2004	19:05	163450	
1/4/2004	20:05	163420	
1/4/2004	21:03	163360	
1/4/2004	22:12	163280	
1/4/2004	23:08	163220	
1/5/2004	0:00	163557.007	
1/5/2004	0:05	163140	
1/5/2004	1:05	163100	
1/5/2004	2:07	163020	
1/5/2004	3:09	162970	
1/5/2004	4:08	162940	
1/5/2004	5:06	162910	
1/5/2004	6:09	162840	
1/5/2004	7:11	162760	
1/5/2004	8:11	162720	
1/5/2004	9:09	162660	
1/5/2004	10:09	162640	
1/5/2004	11:07	162580	
1/5/2004	12:08	162520	
1/5/2004	13:09	162440	
1/5/2004	14:12	162360	
1/5/2004	15:08	162300	
